Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
407,0200,407,0000,000,0000,000,0000,0000,004,0100
407,0200,408,0200,407,0200,000,0407,0000,004,0100
408,EEFA,409,EEFA,403,0000,000,FFFA,0000,004,0100,403,0000
409,AEFC,40A,AEFC,406,0419,000,FFFC,0419,000,0000
40A,EEFB,40B,EEFB,406,0419,000,FFFB,0419,000,0000,406,0419
40B,AF05,40C,AF05,40B,0005,000,0005,0005,000,0000
40C,EEF4,40D,EEF4,401,0005,000,FFF4,0005,000,0000,401,0005
40D,AF07,40E,AF07,40D,0007,000,0007,0007,000,0000
40E,EEF3,40F,EEF3,402,0007,000,FFF3,0007,000,0000,402,0007
40F,AAF5,410,AAF5,123,0000,000,FFF5,0000,004,0100,405,0124
410,EEF4,411,EEF4,405,0000,000,FFF4,0000,004,0100,405,0000
411,AAF2,412,AAF2,123,0000,000,FFF2,0000,004,0100,404,0124
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0006,000,0005,0000,004,0100,402,0006
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,124,0000,000,FFF2,0000,004,0100,404,0125
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0005,000,0004,0000,004,0100,402,0005
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,125,0000,000,FFF2,0000,004,0100,404,0126
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0004,000,0003,0000,004,0100,402,0004
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,126,0000,000,FFF2,0000,004,0100,404,0127
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0003,000,0002,0000,004,0100,402,0003
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,127,0000,000,FFF2,0000,004,0100,404,0128
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0002,000,0001,0000,004,0100,402,0002
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,128,0000,000,FFF2,0000,004,0100,404,0129
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,417,8EEB,402,0001,000,0000,0000,004,0100,402,0001
417,CEF9,411,CEF9,417,0411,000,FFF9,0000,004,0100
411,AAF2,412,AAF2,129,0000,000,FFF2,0000,004,0100,404,012A
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,418,8EEB,402,0000,000,FFFF,0000,004,0100,402,0000
418,8EE8,419,8EE8,401,0004,000,0003,0000,004,0100,401,0004
419,CEF5,40F,CEF5,419,040F,000,FFF5,0000,004,0100
40F,AAF5,410,AAF5,000,0000,000,FFF5,0000,004,0100,405,0001
410,EEF4,411,EEF4,405,0000,000,FFF4,0000,004,0100,405,0000
411,AAF2,412,AAF2,12A,0000,000,FFF2,0000,004,0100,404,012B
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,418,8EEB,402,FFFF,000,FFFE,0000,004,0100,402,FFFF
418,8EE8,419,8EE8,401,0003,000,0002,0000,004,0100,401,0003
419,CEF5,40F,CEF5,419,040F,000,FFF5,0000,004,0100
40F,AAF5,410,AAF5,000,0000,000,FFF5,0000,004,0100,405,0001
410,EEF4,411,EEF4,405,0000,000,FFF4,0000,004,0100,405,0000
411,AAF2,412,AAF2,12B,0000,000,FFF2,0000,004,0100,404,012C
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,418,8EEB,402,FFFE,000,FFFD,0000,004,0100,402,FFFE
418,8EE8,419,8EE8,401,0002,000,0001,0000,004,0100,401,0002
419,CEF5,40F,CEF5,419,040F,000,FFF5,0000,004,0100
40F,AAF5,410,AAF5,000,0000,000,FFF5,0000,004,0100,405,0001
410,EEF4,411,EEF4,405,0000,000,FFF4,0000,004,0100,405,0000
411,AAF2,412,AAF2,12C,0000,000,FFF2,0000,004,0100,404,012D
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,418,8EEB,402,FFFD,000,FFFC,0000,004,0100,402,FFFD
418,8EE8,419,8EE8,401,0001,000,0000,0000,004,0100,401,0001
419,CEF5,40F,CEF5,419,040F,000,FFF5,0000,004,0100
40F,AAF5,410,AAF5,000,0000,000,FFF5,0000,004,0100,405,0001
410,EEF4,411,EEF4,405,0000,000,FFF4,0000,004,0100,405,0000
411,AAF2,412,AAF2,12D,0000,000,FFF2,0000,004,0100,404,012E
412,F303,416,F303,412,F303,000,0003,0000,004,0100
416,8EEB,418,8EEB,402,FFFC,000,FFFB,0000,004,0100,402,FFFC
418,8EE8,41A,8EE8,401,0000,000,FFFF,0000,004,0100,401,0000
41A,0100,41B,0100,41A,0100,000,041A,0000,004,0100
