Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
011,AF03,011,0000,000,0000,000,0000,0000,004,0100
011,AF03,012,AF03,011,0003,000,0003,0003,000,0000
012,0C00,013,0C00,7FF,0003,7FF,0012,0003,000,0000,7FF,0003
013,AF1B,014,AF1B,013,001B,7FF,001B,001B,000,0000
014,0C00,015,0C00,7FE,001B,7FE,0014,001B,000,0000,7FE,001B
015,AF0F,016,AF0F,015,000F,7FE,000F,000F,000,0000
016,0C00,017,0C00,7FD,000F,7FD,0016,000F,000,0000,7FD,000F
017,AF03,018,AF03,017,0003,7FD,0003,0003,000,0000
018,0C00,019,0C00,7FC,0003,7FC,0018,0003,000,0000,7FC,0003
019,DE2D,047,DE2D,7FB,001A,7FB,0047,0003,000,0000,7FB,001A
047,AF04,048,AF04,047,0004,7FB,0004,0004,000,0000
048,EEF7,049,EEF7,040,0004,7FB,FFF7,0004,000,0000,040,0004
049,AC01,04A,AC01,7FC,0003,7FB,0001,0003,000,0000
04A,EEF8,04B,EEF8,043,0003,7FB,FFF8,0003,000,0000,043,0003
04B,AC04,04C,AC04,7FF,0003,7FB,0004,0003,000,0000
04C,EEF5,04D,EEF5,042,0003,7FB,FFF5,0003,000,0000,042,0003
04D,2F01,04E,2F01,04D,0001,7FB,0001,0001,000,0000
04E,CE02,051,CE02,04E,0051,7FB,0002,0001,000,0000
051,F108,05A,F108,051,F108,7FB,0008,0001,000,0000
05A,AEE8,05B,AEE8,043,0003,7FB,FFE8,0003,000,0000
05B,0C00,05C,0C00,7FA,0003,7FA,005B,0003,000,0000,7FA,0003
05C,AEE4,05D,AEE4,041,0001,7FA,FFE4,0001,000,0000
05D,0C00,05E,0C00,7F9,0001,7F9,005D,0001,000,0000,7F9,0001
05E,DE22,081,DE22,7F8,005F,7F8,0081,0001,000,0000,7F8,005F
081,AF08,082,AF08,081,0008,7F8,0008,0008,000,0000
082,EEFD,083,EEFD,080,0008,7F8,FFFD,0008,000,0000,080,0008
083,AF00,084,AF00,083,0000,7F8,0000,0000,004,0100
084,0C00,085,0C00,7F7,0000,7F7,0084,0000,004,0100,7F7,0000
085,AC02,086,AC02,7F9,0001,7F7,0002,0001,000,0000
086,0680,087,0680,086,0680,7F7,0086,0100,000,0000
087,EC02,088,EC02,7F9,0100,7F7,0002,0100,000,0000,7F9,0100
088,AC03,089,AC03,7FA,0003,7F7,0003,0003,000,0000
089,2F01,08A,2F01,089,0001,7F7,0001,0001,000,0000
08A,0C00,08B,0C00,7F6,0001,7F6,008A,0001,000,0000,7F6,0001
08B,CE03,08F,CE03,08B,008F,7F6,0003,0001,000,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0001,000,0000,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0001,7F5,0001,0001,000,0000
0A9,EEFB,0AA,EEFB,0A5,0001,7F5,FFFB,0001,000,0000,0A5,0001
0AA,AC01,0AB,AC01,7F6,0001,7F5,0001,0001,000,0000
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFE,008,1000
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,004,0100
0AD,3EF7,0AE,3EF7,0A5,0001,7F5,FFFE,0001,000,0000
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0001,000,0000
090,F009,091,F009,090,F009,7F6,0090,0001,000,0000
091,DE1D,0AF,DE1D,7F5,0092,7F5,00AF,0001,000,0000,7F5,0092
0AF,AC02,0B0,AC02,7F7,0000,7F5,0002,0000,004,0100
0B0,0280,0B1,0280,0B0,0280,7F5,00B0,FFFF,008,1000
0B1,3C01,0B2,3C01,7F6,0001,7F5,0000,FFFF,008,1000
0B2,0280,0B3,0280,0B2,0280,7F5,00B2,0000,004,0100
0B3,0A00,092,0A00,7F5,0092,7F6,00B3,0000,004,0100
092,F003,096,F003,092,F003,7F6,0003,0000,004,0100
096,AC03,097,AC03,7F9,0100,7F6,0003,0100,000,0000
097,0780,098,0780,097,0780,7F6,0097,FF00,008,1000
098,4C04,099,4C04,7FA,0003,7F6,0004,FF03,008,1000
099,CE01,09B,CE01,099,009B,7F6,0001,FF03,008,1000
09B,0580,09C,0580,09B,0580,7F6,009B,FF81,009,1001
09C,EC04,09D,EC04,7FA,FF81,7F6,0004,FF81,009,1001,7FA,FF81
09D,AC00,09E,AC00,7F6,0001,7F6,0000,0001,001,0001
09E,EC01,09F,EC01,7F7,0001,7F6,0001,0001,001,0001,7F7,0001
09F,8EE0,0A0,8EE0,080,0007,7F6,0006,0001,001,0001,080,0007
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0001,001,0001
08C,AC04,08D,AC04,7FA,FF81,7F6,0004,FF81,009,1001
08D,2F01,08E,2F01,08D,0001,7F6,0001,0001,001,0001
08E,EC00,08F,EC00,7F6,0001,7F6,0000,0001,001,0001,7F6,0001
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0001,001,0001,7F5,0090
0A6,AC02,0A7,AC02,7F7,0001,7F5,0002,0001,001,0001
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFE,009,1001
0A8,2C01,0A9,2C01,7F6,0001,7F5,0001,0000,005,0101
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,005,0101,0A5,0000
0AA,AC01,0AB,AC01,7F6,0001,7F5,0001,0001,001,0001
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFE,009,1001
0AC,2C02,0AD,2C02,7F7,0001,7F5,0002,0000,005,0101
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,005,0101
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,005,0101
090,F009,09A,F009,090,F009,7F6,0009,0000,005,0101
09A,AC04,09B,AC04,7FA,FF81,7F6,0004,FF81,009,1001
09B,0580,09C,0580,09B,0580,7F6,009B,FFC0,009,1001
09C,EC04,09D,EC04,7FA,FFC0,7F6,0004,FFC0,009,1001,7FA,FFC0
09D,AC00,09E,AC00,7F6,0001,7F6,0000,0001,001,0001
09E,EC01,09F,EC01,7F7,0001,7F6,0001,0001,001,0001,7F7,0001
09F,8EE0,0A0,8EE0,080,0006,7F6,0005,0001,001,0001,080,0006
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0001,001,0001
08C,AC04,08D,AC04,7FA,FFC0,7F6,0004,FFC0,009,1001
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,005,0101
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,005,0101,7F6,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,005,0101,7F5,0090
0A6,AC02,0A7,AC02,7F7,0001,7F5,0002,0001,001,0001
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFE,009,1001
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,005,0101
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,005,0101,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,005,0101
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,009,1001
0AC,2C02,0AD,2C02,7F7,0001,7F5,0002,0001,001,0001
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFE,0001,001,0001
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0001,001,0001
090,F009,091,F009,090,F009,7F6,0090,0001,001,0001
091,DE1D,0AF,DE1D,7F5,0092,7F5,00AF,0001,001,0001,7F5,0092
0AF,AC02,0B0,AC02,7F7,0001,7F5,0002,0001,001,0001
0B0,0280,0B1,0280,0B0,0280,7F5,00B0,FFFE,009,1001
0B1,3C01,0B2,3C01,7F6,0000,7F5,0001,FFFE,009,1001
0B2,0280,0B3,0280,0B2,0280,7F5,00B2,0001,001,0001
0B3,0A00,092,0A00,7F5,0092,7F6,00B3,0001,001,0001
092,F003,093,F003,092,F003,7F6,0092,0001,001,0001
093,AC04,094,AC04,7FA,FFC0,7F6,0004,FFC0,009,1001
094,4C03,095,4C03,7F9,0100,7F6,0003,00C0,001,0001
095,CE05,09B,CE05,095,009B,7F6,0005,00C0,001,0001
09B,0580,09C,0580,09B,0580,7F6,009B,0060,000,0000
09C,EC04,09D,EC04,7FA,0060,7F6,0004,0060,000,0000,7FA,0060
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0005,7F6,0004,0000,004,0100,080,0005
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,0060,7F6,0004,0060,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,004,0100
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,004,0100,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,004,0100
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,004,0100,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,004,0100
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,008,1000
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,004,0100
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,004,0100
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,004,0100
090,F009,09A,F009,090,F009,7F6,0009,0000,004,0100
09A,AC04,09B,AC04,7FA,0060,7F6,0004,0060,000,0000
09B,0580,09C,0580,09B,0580,7F6,009B,0030,000,0000
09C,EC04,09D,EC04,7FA,0030,7F6,0004,0030,000,0000,7FA,0030
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0004,7F6,0003,0000,004,0100,080,0004
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,0030,7F6,0004,0030,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,004,0100
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,004,0100,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,004,0100
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,004,0100,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,004,0100
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,008,1000
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,004,0100
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,004,0100
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,004,0100
090,F009,09A,F009,090,F009,7F6,0009,0000,004,0100
09A,AC04,09B,AC04,7FA,0030,7F6,0004,0030,000,0000
09B,0580,09C,0580,09B,0580,7F6,009B,0018,000,0000
09C,EC04,09D,EC04,7FA,0018,7F6,0004,0018,000,0000,7FA,0018
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0003,7F6,0002,0000,004,0100,080,0003
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,0018,7F6,0004,0018,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,004,0100
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,004,0100,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,004,0100
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,004,0100,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,004,0100
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,008,1000
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,004,0100
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,004,0100
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,004,0100
090,F009,09A,F009,090,F009,7F6,0009,0000,004,0100
09A,AC04,09B,AC04,7FA,0018,7F6,0004,0018,000,0000
09B,0580,09C,0580,09B,0580,7F6,009B,000C,000,0000
09C,EC04,09D,EC04,7FA,000C,7F6,0004,000C,000,0000,7FA,000C
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0002,7F6,0001,0000,004,0100,080,0002
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,000C,7F6,0004,000C,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,004,0100
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,004,0100,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,004,0100
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,004,0100,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,004,0100
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,008,1000
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,004,0100
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,004,0100
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,004,0100
090,F009,09A,F009,090,F009,7F6,0009,0000,004,0100
09A,AC04,09B,AC04,7FA,000C,7F6,0004,000C,000,0000
09B,0580,09C,0580,09B,0580,7F6,009B,0006,000,0000
09C,EC04,09D,EC04,7FA,0006,7F6,0004,0006,000,0000,7FA,0006
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0001,7F6,0000,0000,004,0100,080,0001
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,0006,7F6,0004,0006,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0000,004,0100
08E,EC00,08F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
