Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
013,0200,013,0000,000,0000,000,0000,0000,004,0100
013,0200,014,0200,013,0200,000,0013,0000,004,0100
014,AEFB,015,AEFB,010,0003,000,FFFB,0003,000,0000
015,0C00,016,0C00,7FF,0003,7FF,0015,0003,000,0000,7FF,0003
016,AEFA,017,AEFA,011,001B,7FF,FFFA,001B,000,0000
017,0C00,018,0C00,7FE,001B,7FE,0017,001B,000,0000,7FE,001B
018,DE09,022,DE09,7FD,0019,7FD,0022,001B,000,0000,7FD,0019
022,AEFE,023,AEFE,021,0000,7FD,FFFE,0000,004,0100
023,4EFC,024,4EFC,020,0001,7FD,FFFC,0001,000,0000
024,0580,025,0580,024,0580,7FD,0024,0000,007,0111
025,0C00,026,0C00,7FC,0000,7FC,0025,0000,007,0111,7FC,0000
026,DE1B,042,DE1B,7FB,0027,7FB,0042,0000,007,0111,7FB,0027
042,AC04,043,AC04,7FF,0003,7FB,0004,0003,001,0001
043,EEFC,044,EEFC,040,0003,7FB,FFFC,0003,001,0001,040,0003
044,AC01,045,AC01,7FC,0000,7FB,0001,0000,005,0101
045,0740,046,0740,045,0740,7FB,0045,FFFF,008,1000
046,EEFA,047,EEFA,041,FFFF,7FB,FFFA,FFFF,008,1000,041,FFFF
047,CE04,04C,CE04,047,004C,7FB,0004,FFFF,008,1000
04C,4C01,04D,4C01,7FC,0000,7FB,0001,FFFF,008,1000
04D,8EF3,04F,8EF3,041,FFFE,7FB,FFFD,FFFF,008,1000,041,FFFE
04F,0C00,050,0C00,7FA,FFFF,7FA,004F,FFFF,008,1000,7FA,FFFF
050,8EEF,051,8EEF,040,0002,7FA,0001,FFFF,008,1000,040,0002
051,CEF6,048,CEF6,051,0048,7FA,FFF6,FFFF,008,1000
048,AC02,049,AC02,7FC,0000,7FA,0002,0000,004,0100
049,0740,04A,0740,049,0740,7FA,0049,FFFF,008,1000
04A,EEF6,04B,EEF6,041,FFFF,7FA,FFF6,FFFF,008,1000,041,FFFF
04B,0800,04C,0800,7FA,FFFF,7FB,004B,FFFF,008,1000
04C,4C01,04D,4C01,7FC,0000,7FB,0001,FFFF,008,1000
04D,8EF3,04F,8EF3,041,FFFE,7FB,FFFD,FFFF,008,1000,041,FFFE
04F,0C00,050,0C00,7FA,FFFF,7FA,004F,FFFF,008,1000,7FA,FFFF
050,8EEF,051,8EEF,040,0001,7FA,0000,FFFF,008,1000,040,0001
051,CEF6,048,CEF6,051,0048,7FA,FFF6,FFFF,008,1000
048,AC02,049,AC02,7FC,0000,7FA,0002,0000,004,0100
049,0740,04A,0740,049,0740,7FA,0049,FFFF,008,1000
04A,EEF6,04B,EEF6,041,FFFF,7FA,FFF6,FFFF,008,1000,041,FFFF
04B,0800,04C,0800,7FA,FFFF,7FB,004B,FFFF,008,1000
04C,4C01,04D,4C01,7FC,0000,7FB,0001,FFFF,008,1000
04D,8EF3,04F,8EF3,041,FFFE,7FB,FFFD,FFFF,008,1000,041,FFFE
04F,0C00,050,0C00,7FA,FFFF,7FA,004F,FFFF,008,1000,7FA,FFFF
050,8EEF,052,8EEF,040,0000,7FA,FFFF,FFFF,008,1000,040,0000
052,0800,053,0800,7FA,FFFF,7FB,0052,FFFF,008,1000
053,0A00,027,0A00,7FB,0027,7FC,0053,FFFF,008,1000
027,7C02,028,7C02,7FE,001B,7FC,0002,FFFF,009,1001
028,F008,029,F008,028,F008,7FC,0028,FFFF,009,1001
