Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
013,0200,013,0000,000,0000,000,0000,0000,004,0100
013,0200,014,0200,013,0200,000,0013,0000,004,0100
014,AEFB,015,AEFB,010,0003,000,FFFB,0003,000,0000
015,0C00,016,0C00,7FF,0003,7FF,0015,0003,000,0000,7FF,0003
016,AEFA,017,AEFA,011,007D,7FF,FFFA,007D,000,0000
017,0C00,018,0C00,7FE,007D,7FE,0017,007D,000,0000,7FE,007D
018,DE09,022,DE09,7FD,0019,7FD,0022,007D,000,0000,7FD,0019
022,AC01,023,AC01,7FE,007D,7FD,0001,007D,000,0000
023,CE01,025,CE01,023,0025,7FD,0001,007D,000,0000
025,4EFA,026,4EFA,020,0001,7FD,FFFA,007E,000,0000
026,0580,027,0580,026,0580,7FD,0026,003F,000,0000
027,0C00,028,0C00,7FC,003F,7FC,0027,003F,000,0000,7FC,003F
028,DE1D,046,DE1D,7FB,0029,7FB,0046,003F,000,0000,7FB,0029
046,AC04,047,AC04,7FF,0003,7FB,0004,0003,000,0000
047,0740,048,0740,047,0740,7FB,0047,0002,001,0001
048,EEF7,049,EEF7,040,0002,7FB,FFF7,0002,001,0001,040,0002
049,AC01,04A,AC01,7FC,003F,7FB,0001,003F,001,0001
04A,EEF6,04B,EEF6,041,003F,7FB,FFF6,003F,001,0001,041,003F
04B,EEF6,04C,EEF6,042,003F,7FB,FFF6,003F,001,0001,042,003F
04C,CE01,04E,CE01,04C,004E,7FB,0001,003F,001,0001
04E,0C00,04F,0C00,7FA,003F,7FA,004E,003F,001,0001,7FA,003F
04F,AEF1,050,AEF1,041,003F,7FA,FFF1,003F,001,0001
050,0C00,051,0C00,7F9,003F,7F9,0050,003F,001,0001,7F9,003F
051,DE2F,081,DE2F,7F8,0052,7F8,0081,003F,001,0001,7F8,0052
081,AF08,082,AF08,081,0008,7F8,0008,0008,001,0001
082,EEFD,083,EEFD,080,0008,7F8,FFFD,0008,001,0001,080,0008
083,AF00,084,AF00,083,0000,7F8,0000,0000,005,0101
084,0C00,085,0C00,7F7,0000,7F7,0084,0000,005,0101,7F7,0000
085,AC02,086,AC02,7F9,003F,7F7,0002,003F,001,0001
086,0680,087,0680,086,0680,7F7,0086,3F00,001,0001
087,EC02,088,EC02,7F9,3F00,7F7,0002,3F00,001,0001,7F9,3F00
088,AC03,089,AC03,7FA,003F,7F7,0003,003F,001,0001
089,2F01,08A,2F01,089,0001,7F7,0001,0001,001,0001
08A,0C00,08B,0C00,7F6,0001,7F6,008A,0001,001,0001,7F6,0001
08B,CE03,08F,CE03,08B,008F,7F6,0003,0001,001,0001
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0001,001,0001,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,005,0101
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,009,1001
0A8,2C01,0A9,2C01,7F6,0001,7F5,0001,0001,001,0001
0A9,EEFB,0AA,EEFB,0A5,0001,7F5,FFFB,0001,001,0001,0A5,0001
0AA,AC01,0AB,AC01,7F6,0001,7F5,0001,0001,001,0001
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFE,009,1001
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,005,0101
0AD,3EF7,0AE,3EF7,0A5,0001,7F5,FFFE,0001,001,0001
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0001,001,0001
090,F009,091,F009,090,F009,7F6,0090,0001,001,0001
