Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
011,AF03,011,0000,000,0000,000,0000,0000,004,0100
011,AF03,012,AF03,011,0003,000,0003,0003,000,0000
012,0C00,013,0C00,7FF,0003,7FF,0012,0003,000,0000,7FF,0003
013,AF1B,014,AF1B,013,001B,7FF,001B,001B,000,0000
014,0C00,015,0C00,7FE,001B,7FE,0014,001B,000,0000,7FE,001B
015,AF0F,016,AF0F,015,000F,7FE,000F,000F,000,0000
016,0C00,017,0C00,7FD,000F,7FD,0016,000F,000,0000,7FD,000F
017,AF03,018,AF03,017,0003,7FD,0003,0003,000,0000
018,0C00,019,0C00,7FC,0003,7FC,0018,0003,000,0000,7FC,0003
019,DE2D,047,DE2D,7FB,001A,7FB,0047,0003,000,0000,7FB,001A
047,AC01,048,AC01,7FC,0003,7FB,0001,0003,000,0000
048,EEFA,049,EEFA,043,0003,7FB,FFFA,0003,000,0000,043,0003
049,AC04,04A,AC04,7FF,0003,7FB,0004,0003,000,0000
04A,EEF5,04B,EEF5,040,0003,7FB,FFF5,0003,000,0000,040,0003
04B,EEF6,04C,EEF6,042,0003,7FB,FFF6,0003,000,0000,042,0003
04C,2F01,04D,2F01,04C,0001,7FB,0001,0001,000,0000
04D,AEF4,04E,AEF4,042,0003,7FB,FFF4,0003,000,0000
04E,2F01,04F,2F01,04E,0001,7FB,0001,0001,000,0000
04F,F00C,050,F00C,04F,F00C,7FB,004F,0001,000,0000
050,AEF2,051,AEF2,043,0003,7FB,FFF2,0003,000,0000
051,0C00,052,0C00,7FA,0003,7FA,0051,0003,000,0000,7FA,0003
052,AEEE,053,AEEE,041,0001,7FA,FFEE,0001,000,0000
053,0C00,054,0C00,7F9,0001,7F9,0053,0001,000,0000,7F9,0001
054,DE0C,061,DE0C,7F8,0055,7F8,0061,0001,000,0000,7F8,0055
061,AF08,062,AF08,061,0008,7F8,0008,0008,000,0000
062,EEFD,063,EEFD,060,0008,7F8,FFFD,0008,000,0000,060,0008
063,AF00,064,AF00,063,0000,7F8,0000,0000,004,0100
064,0C00,065,0C00,7F7,0000,7F7,0064,0000,004,0100,7F7,0000
065,AC02,066,AC02,7F9,0001,7F7,0002,0001,000,0000
066,0680,067,0680,066,0680,7F7,0066,0100,000,0000
067,EC02,068,EC02,7F9,0100,7F7,0002,0100,000,0000,7F9,0100
068,AC03,069,AC03,7FA,0003,7F7,0003,0003,000,0000
069,2F01,06A,2F01,069,0001,7F7,0001,0001,000,0000
06A,0C00,06B,0C00,7F6,0001,7F6,006A,0001,000,0000,7F6,0001
06B,CE03,06F,CE03,06B,006F,7F6,0003,0001,000,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0001,000,0000,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0001,7F5,0001,0001,000,0000
088,EEFB,089,EEFB,084,0001,7F5,FFFB,0001,000,0000,084,0001
089,AC01,08A,AC01,7F6,0001,7F5,0001,0001,000,0000
08A,0280,08B,0280,08A,0280,7F5,008A,FFFE,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0001,7F5,FFFE,0001,000,0000
08D,0A00,070,0A00,7F5,0070,7F6,008D,0001,000,0000
070,F009,071,F009,070,F009,7F6,0070,0001,000,0000
071,DE1C,08E,DE1C,7F5,0072,7F5,008E,0001,000,0000,7F5,0072
08E,AC02,08F,AC02,7F7,0000,7F5,0002,0000,004,0100
08F,0280,090,0280,08F,0280,7F5,008F,FFFF,008,1000
090,3C01,091,3C01,7F6,0001,7F5,0000,FFFF,008,1000
091,0280,092,0280,091,0280,7F5,0091,0000,004,0100
092,0A00,072,0A00,7F5,0072,7F6,0092,0000,004,0100
072,F003,076,F003,072,F003,7F6,0003,0000,004,0100
076,AC03,077,AC03,7F9,0100,7F6,0003,0100,000,0000
077,0780,078,0780,077,0780,7F6,0077,FF00,008,1000
078,4C04,079,4C04,7FA,0003,7F6,0004,FF03,008,1000
079,CE01,07B,CE01,079,007B,7F6,0001,FF03,008,1000
07B,0580,07C,0580,07B,0580,7F6,007B,FF81,009,1001
07C,EC04,07D,EC04,7FA,FF81,7F6,0004,FF81,009,1001,7FA,FF81
07D,AC00,07E,AC00,7F6,0001,7F6,0000,0001,001,0001
07E,EC01,07F,EC01,7F7,0001,7F6,0001,0001,001,0001,7F7,0001
07F,8EE0,080,8EE0,060,0007,7F6,0006,0001,001,0001,060,0007
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FA,FF81,7F6,0004,FF81,009,1001
06D,2F01,06E,2F01,06D,0001,7F6,0001,0001,001,0001
06E,EC00,06F,EC00,7F6,0001,7F6,0000,0001,001,0001,7F6,0001
06F,DE15,085,DE15,7F5,0070,7F5,0085,0001,001,0001,7F5,0070
085,AC02,086,AC02,7F7,0001,7F5,0002,0001,001,0001
086,0280,087,0280,086,0280,7F5,0086,FFFE,009,1001
087,2C01,088,2C01,7F6,0001,7F5,0001,0000,005,0101
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,005,0101,084,0000
089,AC01,08A,AC01,7F6,0001,7F5,0001,0001,001,0001
08A,0280,08B,0280,08A,0280,7F5,008A,FFFE,009,1001
08B,2C02,08C,2C02,7F7,0001,7F5,0002,0000,005,0101
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,005,0101
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,005,0101
070,F009,07A,F009,070,F009,7F6,0009,0000,005,0101
07A,AC04,07B,AC04,7FA,FF81,7F6,0004,FF81,009,1001
07B,0580,07C,0580,07B,0580,7F6,007B,FFC0,009,1001
07C,EC04,07D,EC04,7FA,FFC0,7F6,0004,FFC0,009,1001,7FA,FFC0
07D,AC00,07E,AC00,7F6,0001,7F6,0000,0001,001,0001
07E,EC01,07F,EC01,7F7,0001,7F6,0001,0001,001,0001,7F7,0001
07F,8EE0,080,8EE0,060,0006,7F6,0005,0001,001,0001,060,0006
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FA,FFC0,7F6,0004,FFC0,009,1001
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,005,0101
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,005,0101,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,005,0101,7F5,0070
085,AC02,086,AC02,7F7,0001,7F5,0002,0001,001,0001
086,0280,087,0280,086,0280,7F5,0086,FFFE,009,1001
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,005,0101
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,005,0101,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,005,0101
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,009,1001
08B,2C02,08C,2C02,7F7,0001,7F5,0002,0001,001,0001
08C,3EF7,08D,3EF7,084,0000,7F5,FFFE,0001,001,0001
08D,0A00,070,0A00,7F5,0070,7F6,008D,0001,001,0001
070,F009,071,F009,070,F009,7F6,0070,0001,001,0001
071,DE1C,08E,DE1C,7F5,0072,7F5,008E,0001,001,0001,7F5,0072
08E,AC02,08F,AC02,7F7,0001,7F5,0002,0001,001,0001
08F,0280,090,0280,08F,0280,7F5,008F,FFFE,009,1001
090,3C01,091,3C01,7F6,0000,7F5,0001,FFFE,009,1001
091,0280,092,0280,091,0280,7F5,0091,0001,001,0001
092,0A00,072,0A00,7F5,0072,7F6,0092,0001,001,0001
072,F003,073,F003,072,F003,7F6,0072,0001,001,0001
073,AC04,074,AC04,7FA,FFC0,7F6,0004,FFC0,009,1001
074,4C03,075,4C03,7F9,0100,7F6,0003,00C0,001,0001
075,CE05,07B,CE05,075,007B,7F6,0005,00C0,001,0001
07B,0580,07C,0580,07B,0580,7F6,007B,0060,000,0000
07C,EC04,07D,EC04,7FA,0060,7F6,0004,0060,000,0000,7FA,0060
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,080,8EE0,060,0005,7F6,0004,0000,004,0100,060,0005
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FA,0060,7F6,0004,0060,000,0000
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,004,0100
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,004,0100,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
070,F009,07A,F009,070,F009,7F6,0009,0000,004,0100
07A,AC04,07B,AC04,7FA,0060,7F6,0004,0060,000,0000
07B,0580,07C,0580,07B,0580,7F6,007B,0030,000,0000
07C,EC04,07D,EC04,7FA,0030,7F6,0004,0030,000,0000,7FA,0030
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,080,8EE0,060,0004,7F6,0003,0000,004,0100,060,0004
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FA,0030,7F6,0004,0030,000,0000
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,004,0100
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,004,0100,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
070,F009,07A,F009,070,F009,7F6,0009,0000,004,0100
07A,AC04,07B,AC04,7FA,0030,7F6,0004,0030,000,0000
07B,0580,07C,0580,07B,0580,7F6,007B,0018,000,0000
07C,EC04,07D,EC04,7FA,0018,7F6,0004,0018,000,0000,7FA,0018
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,080,8EE0,060,0003,7F6,0002,0000,004,0100,060,0003
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FA,0018,7F6,0004,0018,000,0000
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,004,0100
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,004,0100,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
070,F009,07A,F009,070,F009,7F6,0009,0000,004,0100
07A,AC04,07B,AC04,7FA,0018,7F6,0004,0018,000,0000
07B,0580,07C,0580,07B,0580,7F6,007B,000C,000,0000
07C,EC04,07D,EC04,7FA,000C,7F6,0004,000C,000,0000,7FA,000C
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,080,8EE0,060,0002,7F6,0001,0000,004,0100,060,0002
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FA,000C,7F6,0004,000C,000,0000
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,004,0100
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,004,0100,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
070,F009,07A,F009,070,F009,7F6,0009,0000,004,0100
07A,AC04,07B,AC04,7FA,000C,7F6,0004,000C,000,0000
07B,0580,07C,0580,07B,0580,7F6,007B,0006,000,0000
07C,EC04,07D,EC04,7FA,0006,7F6,0004,0006,000,0000,7FA,0006
07D,AC00,07E,AC00,7F6,0000,7F6,0000,0000,004,0100
07E,EC01,07F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
07F,8EE0,080,8EE0,060,0001,7F6,0000,0000,004,0100,060,0001
080,CEEB,06C,CEEB,080,006C,7F6,FFEB,0000,004,0100
06C,AC04,06D,AC04,7FA,0006,7F6,0004,0006,000,0000
06D,2F01,06E,2F01,06D,0001,7F6,0001,0000,004,0100
06E,EC00,06F,EC00,7F6,0000,7F6,0000,0000,004,0100,7F6,0000
06F,DE15,085,DE15,7F5,0070,7F5,0085,0000,004,0100,7F5,0070
085,AC02,086,AC02,7F7,0000,7F5,0002,0000,004,0100
086,0280,087,0280,086,0280,7F5,0086,FFFF,008,1000
087,2C01,088,2C01,7F6,0000,7F5,0001,0000,004,0100
088,EEFB,089,EEFB,084,0000,7F5,FFFB,0000,004,0100,084,0000
089,AC01,08A,AC01,7F6,0000,7F5,0001,0000,004,0100
08A,0280,08B,0280,08A,0280,7F5,008A,FFFF,008,1000
08B,2C02,08C,2C02,7F7,0000,7F5,0002,0000,004,0100
08C,3EF7,08D,3EF7,084,0000,7F5,FFFF,0000,004,0100
08D,0A00,070,0A00,7F5,0070,7F6,008D,0000,004,0100
