Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
013,0200,013,0000,000,0000,000,0000,0000,004,0100
013,0200,014,0200,013,0200,000,0013,0000,004,0100
014,AEFB,015,AEFB,010,0002,000,FFFB,0002,000,0000
015,0C00,016,0C00,7FF,0002,7FF,0015,0002,000,0000,7FF,0002
016,AEFA,017,AEFA,011,0004,7FF,FFFA,0004,000,0000
017,0C00,018,0C00,7FE,0004,7FE,0017,0004,000,0000,7FE,0004
018,DE09,022,DE09,7FD,0019,7FD,0022,0004,000,0000,7FD,0019
022,AC01,023,AC01,7FE,0004,7FD,0001,0004,000,0000
023,CE01,025,CE01,023,0025,7FD,0001,0004,000,0000
025,4EFA,026,4EFA,020,0001,7FD,FFFA,0005,000,0000
026,0580,027,0580,026,0580,7FD,0026,0002,003,0011
027,0C00,028,0C00,7FC,0002,7FC,0027,0002,003,0011,7FC,0002
028,DE1E,047,DE1E,7FB,0029,7FB,0047,0002,003,0011,7FB,0029
047,AC01,048,AC01,7FC,0002,7FB,0001,0002,001,0001
048,EEF8,049,EEF8,041,0002,7FB,FFF8,0002,001,0001,041,0002
049,AF04,04A,AF04,049,0004,7FB,0004,0004,001,0001
04A,EEF5,04B,EEF5,040,0004,7FB,FFF5,0004,001,0001,040,0004
04B,AC01,04C,AC01,7FC,0002,7FB,0001,0002,001,0001
04C,EEF6,04D,EEF6,043,0002,7FB,FFF6,0002,001,0001,043,0002
04D,AC04,04E,AC04,7FF,0002,7FB,0004,0002,001,0001
04E,EEF3,04F,EEF3,042,0002,7FB,FFF3,0002,001,0001,042,0002
04F,2F01,050,2F01,04F,0001,7FB,0001,0000,005,0101
050,CE02,053,CE02,050,0053,7FB,0002,0000,005,0101
053,F00E,062,F00E,053,F00E,7FB,000E,0000,005,0101
062,AEE0,063,AEE0,043,0002,7FB,FFE0,0002,001,0001
063,0C00,064,0C00,7FA,0002,7FA,0063,0002,001,0001,7FA,0002
064,0C00,065,0C00,7F9,0002,7F9,0064,0002,001,0001,7F9,0002
065,DE1B,081,DE1B,7F8,0066,7F8,0081,0002,001,0001,7F8,0066
081,AF08,082,AF08,081,0008,7F8,0008,0008,001,0001
082,EEFD,083,EEFD,080,0008,7F8,FFFD,0008,001,0001,080,0008
083,AF00,084,AF00,083,0000,7F8,0000,0000,005,0101
084,0C00,085,0C00,7F7,0000,7F7,0084,0000,005,0101,7F7,0000
085,AC02,086,AC02,7F9,0002,7F7,0002,0002,001,0001
086,0680,087,0680,086,0680,7F7,0086,0200,001,0001
087,EC02,088,EC02,7F9,0200,7F7,0002,0200,001,0001,7F9,0200
088,AC03,089,AC03,7FA,0002,7F7,0003,0002,001,0001
089,2F01,08A,2F01,089,0001,7F7,0001,0000,005,0101
08A,0C00,08B,0C00,7F6,0000,7F6,008A,0000,005,0101,7F6,0000
08B,CE03,08F,CE03,08B,008F,7F6,0003,0000,005,0101
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0000,005,0101,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,005,0101
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,009,1001
0A8,2C01,0A9,2C01,7F6,0000,7F5,0001,0000,005,0101
0A9,EEFB,0AA,EEFB,0A5,0000,7F5,FFFB,0000,005,0101,0A5,0000
0AA,AC01,0AB,AC01,7F6,0000,7F5,0001,0000,005,0101
0AB,0280,0AC,0280,0AB,0280,7F5,00AB,FFFF,009,1001
0AC,2C02,0AD,2C02,7F7,0000,7F5,0002,0000,005,0101
0AD,3EF7,0AE,3EF7,0A5,0000,7F5,FFFF,0000,005,0101
0AE,0A00,090,0A00,7F5,0090,7F6,00AE,0000,005,0101
090,F009,09A,F009,090,F009,7F6,0009,0000,005,0101
09A,AC04,09B,AC04,7FA,0002,7F6,0004,0002,001,0001
09B,0580,09C,0580,09B,0580,7F6,009B,0001,000,0000
09C,EC04,09D,EC04,7FA,0001,7F6,0004,0001,000,0000,7FA,0001
09D,AC00,09E,AC00,7F6,0000,7F6,0000,0000,004,0100
09E,EC01,09F,EC01,7F7,0000,7F6,0001,0000,004,0100,7F7,0000
09F,8EE0,0A0,8EE0,080,0007,7F6,0006,0000,004,0100,080,0007
0A0,CEEB,08C,CEEB,0A0,008C,7F6,FFEB,0000,004,0100
08C,AC04,08D,AC04,7FA,0001,7F6,0004,0001,000,0000
08D,2F01,08E,2F01,08D,0001,7F6,0001,0001,000,0000
08E,EC00,08F,EC00,7F6,0001,7F6,0000,0001,000,0000,7F6,0001
08F,DE16,0A6,DE16,7F5,0090,7F5,00A6,0001,000,0000,7F5,0090
0A6,AC02,0A7,AC02,7F7,0000,7F5,0002,0000,004,0100
0A7,0280,0A8,0280,0A7,0280,7F5,00A7,FFFF,008,1000
0A8,2C01,0A9,2C01,7F6,0001,7F5,0001,0001,000,0000
