Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
013,0200,013,0000,000,0000,000,0000,0000,004,0100
013,0200,014,0200,013,0200,000,0013,0000,004,0100
014,AEFB,015,AEFB,010,0003,000,FFFB,0003,000,0000
015,0C00,016,0C00,7FF,0003,7FF,0015,0003,000,0000,7FF,0003
016,AEFA,017,AEFA,011,001B,7FF,FFFA,001B,000,0000
017,0C00,018,0C00,7FE,001B,7FE,0017,001B,000,0000,7FE,001B
018,DE19,032,DE19,7FD,0019,7FD,0032,001B,000,0000,7FD,0019
032,AC01,033,AC01,7FE,001B,7FD,0001,001B,000,0000
033,4EFC,034,4EFC,030,0001,7FD,FFFC,001C,000,0000
034,0580,035,0580,034,0580,7FD,0034,000E,000,0000
035,0C00,036,0C00,7FC,000E,7FC,0035,000E,000,0000,7FC,000E
036,DE1B,052,DE1B,7FB,0037,7FB,0052,000E,000,0000,7FB,0037
052,AC04,053,AC04,7FF,0003,7FB,0004,0003,000,0000
053,EEFC,054,EEFC,050,0003,7FB,FFFC,0003,000,0000,050,0003
054,AC01,055,AC01,7FC,000E,7FB,0001,000E,000,0000
055,EEFB,056,EEFB,051,000E,7FB,FFFB,000E,000,0000,051,000E
056,CE03,05A,CE03,056,005A,7FB,0003,000E,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,001C,000,0000
05B,8EF5,05C,8EF5,051,000D,7FB,000C,001C,000,0000,051,000D
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,001C,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,002A,000,0000
05B,8EF5,05C,8EF5,051,000C,7FB,000B,002A,000,0000,051,000C
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,002A,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0038,000,0000
05B,8EF5,05C,8EF5,051,000B,7FB,000A,0038,000,0000,051,000B
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0038,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0046,000,0000
05B,8EF5,05C,8EF5,051,000A,7FB,0009,0046,000,0000,051,000A
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0046,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0054,000,0000
05B,8EF5,05C,8EF5,051,0009,7FB,0008,0054,000,0000,051,0009
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0054,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0062,000,0000
05B,8EF5,05C,8EF5,051,0008,7FB,0007,0062,000,0000,051,0008
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0062,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0070,000,0000
05B,8EF5,05C,8EF5,051,0007,7FB,0006,0070,000,0000,051,0007
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0070,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,007E,000,0000
05B,8EF5,05C,8EF5,051,0006,7FB,0005,007E,000,0000,051,0006
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,007E,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,008C,000,0000
05B,8EF5,05C,8EF5,051,0005,7FB,0004,008C,000,0000,051,0005
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,008C,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,009A,000,0000
05B,8EF5,05C,8EF5,051,0004,7FB,0003,009A,000,0000,051,0004
