Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
001,AF0B,001,0000,000,0000,000,0000,0000,004,0100
001,AF0B,002,AF0B,001,000B,000,000B,000B,000,0000
002,0C00,003,0C00,7FF,000B,7FF,0002,000B,000,0000,7FF,000B
003,AF0F,004,AF0F,003,000F,7FF,000F,000F,000,0000
004,0C00,005,0C00,7FE,000F,7FE,0004,000F,000,0000,7FE,000F
005,AF10,006,AF10,005,0010,7FE,0010,0010,000,0000
006,0C00,007,0C00,7FD,0010,7FD,0006,0010,000,0000,7FD,0010
007,DE59,061,DE59,7FC,0008,7FC,0061,0010,000,0000,7FC,0008
061,AF08,062,AF08,061,0008,7FC,0008,0008,000,0000
062,EEFD,063,EEFD,060,0008,7FC,FFFD,0008,000,0000,060,0008
063,AF00,064,AF00,063,0000,7FC,0000,0000,004,0100
064,0C00,065,0C00,7FB,0000,7FB,0064,0000,004,0100,7FB,0000
065,AC02,066,AC02,7FD,0010,7FB,0002,0010,000,0000
066,0680,067,0680,066,0680,7FB,0066,1000,000,0000
067,EC02,068,EC02,7FD,1000,7FB,0002,1000,000,0000,7FD,1000
068,AC03,069,AC03,7FE,000F,7FB,0003,000F,000,0000
069,2F01,06A,2F01,069,0001,7FB,0001,0001,000,0000
06A,0C00,06B,0C00,7FA,0001,7FA,006A,0001,000,0000,7FA,0001
06B,CE03,06F,CE03,06B,006F,7FA,0003,0001,000,0000
06F,DE16,086,DE16,7F9,0070,7F9,0086,0001,000,0000,7F9,0070
086,AC02,087,AC02,7FB,0000,7F9,0002,0000,004,0100
087,0280,088,0280,087,0280,7F9,0087,FFFF,008,1000
088,2C01,089,2C01,7FA,0001,7F9,0001,0001,000,0000
089,EEFB,08A,EEFB,085,0001,7F9,FFFB,0001,000,0000,085,0001
08A,AC01,08B,AC01,7FA,0001,7F9,0001,0001,000,0000
08B,0280,08C,0280,08B,0280,7F9,008B,FFFE,008,1000
08C,2C02,08D,2C02,7FB,0000,7F9,0002,0000,004,0100
08D,3EF7,08E,3EF7,085,0001,7F9,FFFE,0001,000,0000
08E,0A00,070,0A00,7F9,0070,7FA,008E,0001,000,0000
070,F009,071,F009,070,F009,7FA,0070,0001,000,0000
071,DE1D,08F,DE1D,7F9,0072,7F9,008F,0001,000,0000,7F9,0072
08F,AC02,090,AC02,7FB,0000,7F9,0002,0000,004,0100
090,0280,091,0280,090,0280,7F9,0090,FFFF,008,1000
091,3C01,092,3C01,7FA,0001,7F9,0000,FFFF,008,1000
092,0280,093,0280,092,0280,7F9,0092,0000,004,0100
093,0A00,072,0A00,7F9,0072,7FA,0093,0000,004,0100
072,F003,076,F003,072,F003,7FA,0003,0000,004,0100
076,AC03,077,AC03,7FD,1000,7FA,0003,1000,000,0000
077,0780,078,0780,077,0780,7FA,0077,F000,008,1000
078,4C04,079,4C04,7FE,000F,7FA,0004,F00F,008,1000
079,CE01,07B,CE01,079,007B,7FA,0001,F00F,008,1000
07B,0580,07C,0580,07B,0580,7FA,007B,F807,009,1001
07C,EC04,07D,EC04,7FE,F807,7FA,0004,F807,009,1001,7FE,F807
07D,AC00,07E,AC00,7FA,0001,7FA,0000,0001,001,0001
07E,EC01,07F,EC01,7FB,0001,7FA,0001,0001,001,0001,7FB,0001
07F,8EE0,080,8EE0,060,0007,7FA,0006,0001,001,0001,060,0007
080,CEEB,06C,CEEB,080,006C,7FA,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FE,F807,7FA,0004,F807,009,1001
06D,2F01,06E,2F01,06D,0001,7FA,0001,0001,001,0001
06E,EC00,06F,EC00,7FA,0001,7FA,0000,0001,001,0001,7FA,0001
06F,DE16,086,DE16,7F9,0070,7F9,0086,0001,001,0001,7F9,0070
086,AC02,087,AC02,7FB,0001,7F9,0002,0001,001,0001
087,0280,088,0280,087,0280,7F9,0087,FFFE,009,1001
088,2C01,089,2C01,7FA,0001,7F9,0001,0000,005,0101
089,EEFB,08A,EEFB,085,0000,7F9,FFFB,0000,005,0101,085,0000
08A,AC01,08B,AC01,7FA,0001,7F9,0001,0001,001,0001
08B,0280,08C,0280,08B,0280,7F9,008B,FFFE,009,1001
08C,2C02,08D,2C02,7FB,0001,7F9,0002,0000,005,0101
08D,3EF7,08E,3EF7,085,0000,7F9,FFFF,0000,005,0101
08E,0A00,070,0A00,7F9,0070,7FA,008E,0000,005,0101
070,F009,07A,F009,070,F009,7FA,0009,0000,005,0101
07A,AC04,07B,AC04,7FE,F807,7FA,0004,F807,009,1001
07B,0580,07C,0580,07B,0580,7FA,007B,FC03,009,1001
07C,EC04,07D,EC04,7FE,FC03,7FA,0004,FC03,009,1001,7FE,FC03
07D,AC00,07E,AC00,7FA,0001,7FA,0000,0001,001,0001
07E,EC01,07F,EC01,7FB,0001,7FA,0001,0001,001,0001,7FB,0001
07F,8EE0,080,8EE0,060,0006,7FA,0005,0001,001,0001,060,0006
080,CEEB,06C,CEEB,080,006C,7FA,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FE,FC03,7FA,0004,FC03,009,1001
06D,2F01,06E,2F01,06D,0001,7FA,0001,0001,001,0001
06E,EC00,06F,EC00,7FA,0001,7FA,0000,0001,001,0001,7FA,0001
06F,DE16,086,DE16,7F9,0070,7F9,0086,0001,001,0001,7F9,0070
086,AC02,087,AC02,7FB,0001,7F9,0002,0001,001,0001
087,0280,088,0280,087,0280,7F9,0087,FFFE,009,1001
088,2C01,089,2C01,7FA,0001,7F9,0001,0000,005,0101
089,EEFB,08A,EEFB,085,0000,7F9,FFFB,0000,005,0101,085,0000
08A,AC01,08B,AC01,7FA,0001,7F9,0001,0001,001,0001
08B,0280,08C,0280,08B,0280,7F9,008B,FFFE,009,1001
08C,2C02,08D,2C02,7FB,0001,7F9,0002,0000,005,0101
08D,3EF7,08E,3EF7,085,0000,7F9,FFFF,0000,005,0101
08E,0A00,070,0A00,7F9,0070,7FA,008E,0000,005,0101
070,F009,07A,F009,070,F009,7FA,0009,0000,005,0101
07A,AC04,07B,AC04,7FE,FC03,7FA,0004,FC03,009,1001
07B,0580,07C,0580,07B,0580,7FA,007B,FE01,009,1001
07C,EC04,07D,EC04,7FE,FE01,7FA,0004,FE01,009,1001,7FE,FE01
07D,AC00,07E,AC00,7FA,0001,7FA,0000,0001,001,0001
07E,EC01,07F,EC01,7FB,0001,7FA,0001,0001,001,0001,7FB,0001
07F,8EE0,080,8EE0,060,0005,7FA,0004,0001,001,0001,060,0005
080,CEEB,06C,CEEB,080,006C,7FA,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FE,FE01,7FA,0004,FE01,009,1001
06D,2F01,06E,2F01,06D,0001,7FA,0001,0001,001,0001
06E,EC00,06F,EC00,7FA,0001,7FA,0000,0001,001,0001,7FA,0001
06F,DE16,086,DE16,7F9,0070,7F9,0086,0001,001,0001,7F9,0070
086,AC02,087,AC02,7FB,0001,7F9,0002,0001,001,0001
087,0280,088,0280,087,0280,7F9,0087,FFFE,009,1001
088,2C01,089,2C01,7FA,0001,7F9,0001,0000,005,0101
089,EEFB,08A,EEFB,085,0000,7F9,FFFB,0000,005,0101,085,0000
08A,AC01,08B,AC01,7FA,0001,7F9,0001,0001,001,0001
08B,0280,08C,0280,08B,0280,7F9,008B,FFFE,009,1001
08C,2C02,08D,2C02,7FB,0001,7F9,0002,0000,005,0101
08D,3EF7,08E,3EF7,085,0000,7F9,FFFF,0000,005,0101
08E,0A00,070,0A00,7F9,0070,7FA,008E,0000,005,0101
070,F009,07A,F009,070,F009,7FA,0009,0000,005,0101
07A,AC04,07B,AC04,7FE,FE01,7FA,0004,FE01,009,1001
07B,0580,07C,0580,07B,0580,7FA,007B,FF00,009,1001
07C,EC04,07D,EC04,7FE,FF00,7FA,0004,FF00,009,1001,7FE,FF00
07D,AC00,07E,AC00,7FA,0001,7FA,0000,0001,001,0001
07E,EC01,07F,EC01,7FB,0001,7FA,0001,0001,001,0001,7FB,0001
07F,8EE0,080,8EE0,060,0004,7FA,0003,0001,001,0001,060,0004
080,CEEB,06C,CEEB,080,006C,7FA,FFEB,0001,001,0001
06C,AC04,06D,AC04,7FE,FF00,7FA,0004,FF00,009,1001
06D,2F01,06E,2F01,06D,0001,7FA,0001,0000,005,0101
06E,EC00,06F,EC00,7FA,0000,7FA,0000,0000,005,0101,7FA,0000
06F,DE16,086,DE16,7F9,0070,7F9,0086,0000,005,0101,7F9,0070
086,AC02,087,AC02,7FB,0001,7F9,0002,0001,001,0001
087,0280,088,0280,087,0280,7F9,0087,FFFE,009,1001
088,2C01,089,2C01,7FA,0000,7F9,0001,0000,005,0101
089,EEFB,08A,EEFB,085,0000,7F9,FFFB,0000,005,0101,085,0000
08A,AC01,08B,AC01,7FA,0000,7F9,0001,0000,005,0101
08B,0280,08C,0280,08B,0280,7F9,008B,FFFF,009,1001
08C,2C02,08D,2C02,7FB,0001,7F9,0002,0001,001,0001
08D,3EF7,08E,3EF7,085,0000,7F9,FFFE,0001,001,0001
08E,0A00,070,0A00,7F9,0070,7FA,008E,0001,001,0001
070,F009,071,F009,070,F009,7FA,0070,0001,001,0001
071,DE1D,08F,DE1D,7F9,0072,7F9,008F,0001,001,0001,7F9,0072
08F,AC02,090,AC02,7FB,0001,7F9,0002,0001,001,0001
090,0280,091,0280,090,0280,7F9,0090,FFFE,009,1001
091,3C01,092,3C01,7FA,0000,7F9,0001,FFFE,009,1001
092,0280,093,0280,092,0280,7F9,0092,0001,001,0001
093,0A00,072,0A00,7F9,0072,7FA,0093,0001,001,0001
072,F003,073,F003,072,F003,7FA,0072,0001,001,0001
073,AC04,074,AC04,7FE,FF00,7FA,0004,FF00,009,1001
074,4C03,075,4C03,7FD,1000,7FA,0003,0F00,001,0001
075,CE05,07B,CE05,075,007B,7FA,0005,0F00,001,0001
07B,0580,07C,0580,07B,0580,7FA,007B,0780,000,0000
07C,EC04,07D,EC04,7FE,0780,7FA,0004,0780,000,0000,7FE,0780
07D,AC00,07E,AC00,7FA,0000,7FA,0000,0000,004,0100
07E,EC01,07F,EC01,7FB,0000,7FA,0001,0000,004,0100,7FB,0000
07F,8EE0,080,8EE0,060,0003,7FA,0002,0000,004,0100,060,0003
