Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
011,0200,011,0000,000,0000,000,0000,0000,004,0100
011,0200,012,0200,011,0200,000,0011,0000,004,0100
012,AEFD,013,AEFD,010,0001,000,FFFD,0001,000,0000
013,0C00,014,0C00,7FF,0001,7FF,0013,0001,000,0000,7FF,0001
014,DE6F,084,DE6F,7FE,0015,7FE,0084,0001,000,0000,7FE,0015
084,AF00,085,AF00,084,0000,7FE,0000,0000,004,0100
085,EEF9,086,EEF9,07F,0000,7FE,FFF9,0000,004,0100,07F,0000
086,EEF9,087,EEF9,080,0000,7FE,FFF9,0000,004,0100,080,0000
087,EEF9,088,EEF9,081,0000,7FE,FFF9,0000,004,0100,081,0000
088,AC01,089,AC01,7FF,0001,7FE,0001,0001,000,0000
089,EEF8,08A,EEF8,082,0001,7FE,FFF8,0001,000,0000,082,0001
08A,EEF8,08B,EEF8,083,0001,7FE,FFF8,0001,000,0000,083,0001
08B,7F09,08C,7F09,08B,0009,7FE,0009,0001,008,1000
08C,F30A,08D,F30A,08C,F30A,7FE,008C,0001,008,1000
08D,AEF4,08E,AEF4,082,0001,7FE,FFF4,0001,000,0000
08E,6EF0,08F,6EF0,07F,0000,7FE,FFF0,0001,001,0001
08F,EEF1,090,EEF1,081,0001,7FE,FFF1,0001,001,0001,081,0001
090,AEEF,091,AEEF,080,0000,7FE,FFEF,0000,005,0101
091,DE18,0AA,DE18,7FD,0092,7FD,00AA,0000,005,0101,7FD,0092
0AA,EEF4,0AB,EEF4,09F,0000,7FD,FFF4,0000,005,0101,09F,0000
0AB,4EF4,0AC,4EF4,0A0,0017,7FD,FFF4,0017,000,0000
0AC,EEF3,0AD,EEF3,0A0,0017,7FD,FFF3,0017,000,0000,0A0,0017
0AD,D8F2,017,D8F2,7FC,00AE,7FC,0017,0017,000,0000,7FC,00AE
017,AF3E,018,AF3E,017,003E,7FC,003E,003E,000,0000
018,1310,019,1310,018,1310,7FC,0018,003E,000,0000
019,AF49,01A,AF49,019,0049,7FC,0049,0049,000,0000
01A,1310,01B,1310,01A,1310,7FC,001A,0049,000,0000
01B,AF51,01C,AF51,01B,0051,7FC,0051,0051,000,0000
01C,1310,01D,1310,01C,1310,7FC,001C,0051,000,0000
01D,AF3E,01E,AF3E,01D,003E,7FC,003E,003E,000,0000
01E,1310,01F,1310,01E,1310,7FC,001E,003E,000,0000
01F,0A00,0AE,0A00,7FC,00AE,7FD,001F,003E,000,0000
0AE,AEF1,0AF,AEF1,0A0,0017,7FD,FFF1,0017,000,0000
0AF,6EEF,0B0,6EEF,09F,0000,7FD,FFEF,0017,001,0001
0B0,EEEF,0B1,EEEF,0A0,0017,7FD,FFEF,0017,001,0001,0A0,0017
0B1,0A00,092,0A00,7FD,0092,7FE,00B1,0017,001,0001
092,0000,093,0000,092,0000,7FE,0092,0017,001,0001
093,AEED,094,AEED,081,0001,7FE,FFED,0001,001,0001
094,DE15,0AA,DE15,7FD,0095,7FD,00AA,0001,001,0001,7FD,0095
0AA,EEF4,0AB,EEF4,09F,0001,7FD,FFF4,0001,001,0001,09F,0001
0AB,4EF4,0AC,4EF4,0A0,0017,7FD,FFF4,0018,000,0000
0AC,EEF3,0AD,EEF3,0A0,0018,7FD,FFF3,0018,000,0000,0A0,0018
0AD,D8F2,018,D8F2,7FC,00AE,7FC,0018,0018,000,0000,7FC,00AE
018,1310,019,1310,018,1310,7FC,0018,0018,000,0000
019,AF49,01A,AF49,019,0049,7FC,0049,0049,000,0000
01A,1310,01B,1310,01A,1310,7FC,001A,0049,000,0000
01B,AF51,01C,AF51,01B,0051,7FC,0051,0051,000,0000
01C,1310,01D,1310,01C,1310,7FC,001C,0051,000,0000
01D,AF3E,01E,AF3E,01D,003E,7FC,003E,003E,000,0000
01E,1310,01F,1310,01E,1310,7FC,001E,003E,000,0000
01F,0A00,0AE,0A00,7FC,00AE,7FD,001F,003E,000,0000
0AE,AEF1,0AF,AEF1,0A0,0018,7FD,FFF1,0018,000,0000
0AF,6EEF,0B0,6EEF,09F,0001,7FD,FFEF,0017,001,0001
0B0,EEEF,0B1,EEEF,0A0,0017,7FD,FFEF,0017,001,0001,0A0,0017
0B1,0A00,095,0A00,7FD,0095,7FE,00B1,0017,001,0001
095,0000,096,0000,095,0000,7FE,0095,0017,001,0001
096,0A00,015,0A00,7FE,0015,7FF,0096,0017,001,0001
015,0100,016,0100,015,0100,7FF,0015,0017,001,0001
