Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
011,0200,011,0000,000,0000,000,0000,0000,004,0100
011,0200,012,0200,011,0200,000,0011,0000,004,0100
012,AEFD,013,AEFD,010,0001,000,FFFD,0001,000,0000
013,0C00,014,0C00,7FF,0001,7FF,0013,0001,000,0000,7FF,0001
014,DE6F,084,DE6F,7FE,0015,7FE,0084,0001,000,0000,7FE,0015
084,AF00,085,AF00,084,0000,7FE,0000,0000,004,0100
085,EEF9,086,EEF9,07F,0000,7FE,FFF9,0000,004,0100,07F,0000
086,EEF9,087,EEF9,080,0000,7FE,FFF9,0000,004,0100,080,0000
087,EEF9,088,EEF9,081,0000,7FE,FFF9,0000,004,0100,081,0000
088,0800,089,0800,7FE,0015,7FF,0088,0015,000,0000
089,EEF8,08A,EEF8,082,0015,7FF,FFF8,0015,000,0000,082,0015
08A,EEF8,08B,EEF8,083,0015,7FF,FFF8,0015,000,0000,083,0015
08B,7F09,08C,7F09,08B,0009,7FF,0009,0015,001,0001
08C,F30A,097,F30A,08C,F30A,7FF,000A,0015,001,0001
097,AEE7,098,AEE7,07F,0000,7FF,FFE7,0000,005,0101
098,4F0A,099,4F0A,098,000A,7FF,000A,000A,000,0000
099,EEE5,09A,EEE5,07F,000A,7FF,FFE5,000A,000,0000,07F,000A
09A,AAE5,09B,AAE5,000,0000,7FF,FFE5,0000,004,0100,080,0001
09B,AEE7,09C,AEE7,083,0015,7FF,FFE7,0015,000,0000
09C,6F09,09D,6F09,09C,0009,7FF,0009,000C,001,0001
09D,EEE5,09E,EEE5,083,000C,7FF,FFE5,000C,001,0001,083,000C
09E,CEEC,08B,CEEC,09E,008B,7FF,FFEC,000C,001,0001
08B,7F09,08C,7F09,08B,0009,7FF,0009,000C,001,0001
08C,F30A,097,F30A,08C,F30A,7FF,000A,000C,001,0001
097,AEE7,098,AEE7,07F,000A,7FF,FFE7,000A,001,0001
098,4F0A,099,4F0A,098,000A,7FF,000A,0014,000,0000
099,EEE5,09A,EEE5,07F,0014,7FF,FFE5,0014,000,0000,07F,0014
09A,AAE5,09B,AAE5,001,0000,7FF,FFE5,0000,004,0100,080,0002
09B,AEE7,09C,AEE7,083,000C,7FF,FFE7,000C,000,0000
09C,6F09,09D,6F09,09C,0009,7FF,0009,0003,001,0001
09D,EEE5,09E,EEE5,083,0003,7FF,FFE5,0003,001,0001,083,0003
09E,CEEC,08B,CEEC,09E,008B,7FF,FFEC,0003,001,0001
08B,7F09,08C,7F09,08B,0009,7FF,0009,0003,008,1000
08C,F30A,08D,F30A,08C,F30A,7FF,008C,0003,008,1000
08D,AEF4,08E,AEF4,082,0015,7FF,FFF4,0015,000,0000
08E,6EF0,08F,6EF0,07F,0014,7FF,FFF0,0001,001,0001
08F,EEF1,090,EEF1,081,0001,7FF,FFF1,0001,001,0001,081,0001
090,AEEF,091,AEEF,080,0002,7FF,FFEF,0002,001,0001
091,DE19,0AB,DE19,7FE,0092,7FE,00AB,0002,001,0001,7FE,0092
0AB,EEF3,0AC,EEF3,09F,0002,7FE,FFF3,0002,001,0001,09F,0002
0AC,4EF3,0AD,4EF3,0A0,0017,7FE,FFF3,0019,000,0000
0AD,EEF2,0AE,EEF2,0A0,0019,7FE,FFF2,0019,000,0000,0A0,0019
0AE,AAFB,0AF,AAFB,000,0000,7FE,FFFB,0000,004,0100,0AA,0001
0AF,AEFA,0B0,AEFA,0AA,0001,7FE,FFFA,0001,000,0000
0B0,7F02,0B1,7F02,0B0,0002,7FE,0002,0001,008,1000
0B1,F101,0B3,F101,0B1,F101,7FE,0001,0001,008,1000
0B3,D8EC,019,D8EC,7FD,00B4,7FD,0019,0001,008,1000,7FD,00B4
019,AF49,01A,AF49,019,0049,7FD,0049,0049,000,0000
01A,1310,01B,1310,01A,1310,7FD,001A,0049,000,0000
01B,AF51,01C,AF51,01B,0051,7FD,0051,0051,000,0000
01C,1310,01D,1310,01C,1310,7FD,001C,0051,000,0000
01D,AF3E,01E,AF3E,01D,003E,7FD,003E,003E,000,0000
01E,1310,01F,1310,01E,1310,7FD,001E,003E,000,0000
01F,0A00,0B4,0A00,7FD,00B4,7FE,001F,003E,000,0000
