Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
041,0200,041,0000,000,0000,000,0000,0000,004,0100
041,0200,042,0200,041,0200,000,0041,0000,004,0100
042,AEFD,043,AEFD,040,0003,000,FFFD,0003,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0003,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0003,000,0000
045,AEF4,046,AEF4,03A,0020,000,FFF4,0020,000,0000
046,0700,047,0700,046,0700,000,0046,0021,000,0000
047,0700,048,0700,047,0700,000,0047,0022,000,0000
048,EEF1,049,EEF1,03A,0022,000,FFF1,0022,000,0000,03A,0022
049,AEF6,04A,AEF6,040,0003,000,FFF6,0003,000,0000
04A,0700,04B,0700,04A,0700,000,004A,0004,000,0000
04B,EEF4,04C,EEF4,040,0004,000,FFF4,0004,000,0000,040,0004
04C,8EEC,04D,8EEC,039,000C,000,000B,0004,000,0000,039,000C
04D,CEF4,042,CEF4,04D,0042,000,FFF4,0004,000,0000
042,AEFD,043,AEFD,040,0004,000,FFFD,0004,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0000,004,0100
044,F00A,04F,F00A,044,F00A,000,000A,0000,004,0100
04F,0200,050,0200,04F,0200,000,004F,0000,004,0100
050,AAE9,051,AAE9,022,0000,000,FFE9,0000,004,0100,03A,0023
051,4EE9,052,4EE9,03B,0000,000,FFE9,0000,004,0100
052,EEE8,053,EEE8,03B,0000,000,FFE8,0000,004,0100,03B,0000
053,AAE6,054,AAE6,023,7FFF,000,FFE6,7FFF,000,0000,03A,0024
054,5EE7,055,5EE7,03C,0000,000,FFE7,7FFF,000,0000
055,EEE6,056,EEE6,03C,7FFF,000,FFE6,7FFF,000,0000,03C,7FFF
056,2EE6,057,2EE6,03D,0004,000,FFE6,0004,000,0000
057,F003,058,F003,057,F003,000,0057,0004,000,0000
058,AEE3,059,AEE3,03C,7FFF,000,FFE3,7FFF,000,0000
059,3EE4,05A,3EE4,03E,FFFC,000,0000,FFFF,008,1000
05A,CE02,05D,CE02,05A,005D,000,0002,FFFF,008,1000
05D,EEDE,05E,EEDE,03C,FFFF,000,FFDE,FFFF,008,1000,03C,FFFF
05E,CEEA,049,CEEA,05E,0049,000,FFEA,FFFF,008,1000
049,AEF6,04A,AEF6,040,0004,000,FFF6,0004,000,0000
04A,0700,04B,0700,04A,0700,000,004A,0005,000,0000
04B,EEF4,04C,EEF4,040,0005,000,FFF4,0005,000,0000,040,0005
04C,8EEC,04D,8EEC,039,000B,000,000A,0005,000,0000,039,000B
04D,CEF4,042,CEF4,04D,0042,000,FFF4,0005,000,0000
042,AEFD,043,AEFD,040,0005,000,FFFD,0005,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0001,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0001,000,0000
045,AEF4,046,AEF4,03A,0024,000,FFF4,0024,000,0000
046,0700,047,0700,046,0700,000,0046,0025,000,0000
047,0700,048,0700,047,0700,000,0047,0026,000,0000
048,EEF1,049,EEF1,03A,0026,000,FFF1,0026,000,0000,03A,0026
049,AEF6,04A,AEF6,040,0005,000,FFF6,0005,000,0000
04A,0700,04B,0700,04A,0700,000,004A,0006,000,0000
04B,EEF4,04C,EEF4,040,0006,000,FFF4,0006,000,0000,040,0006
04C,8EEC,04D,8EEC,039,000A,000,0009,0006,000,0000,039,000A
04D,CEF4,042,CEF4,04D,0042,000,FFF4,0006,000,0000
042,AEFD,043,AEFD,040,0006,000,FFFD,0006,000,0000
043,2EFB,044,2EFB,03F,0003,000,FFFB,0002,000,0000
044,F00A,045,F00A,044,F00A,000,0044,0002,000,0000
045,AEF4,046,AEF4,03A,0026,000,FFF4,0026,000,0000
046,0700,047,0700,046,0700,000,0046,0027,000,0000
047,0700,048,0700,047,0700,000,0047,0028,000,0000
